sistema_ensino,tipo_escola,uf,nome_escola,codigo_curso,nome_curso,oferta,eixo_tecnologico,modalidade,data_criacao,carga_horaria_toral,modalidade_ensino,status_curso,tipo_oferta,vagas_ofertas,qtd_de_matriculas
Estadual / Distrital,Escolas Técnicas,ES,CEDTEC ENSINO E SOLUCOES DIDATICAS LTDA - unidade serra,56,Técnico em Logística,Concomitante,Gestão e Negócios,Educação Presencial,8/19/19 18:57,800,Educação Presencial,Ativo,2,,5
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Garopaba,36,leitura: teoria e prática,,Desenvolvimento Educacional e Social,Educação Presencial,8/19/19 13:53,40,Educação Presencial,Concluído,,30,32
Federal,Escolas de Oferta Outros Cursos,SC,Instituto Federal de Santa Catarina - Campus Garopaba,36,leitura: teoria e prática,,Desenvolvimento Educacional e Social,Educação Presencial,8/19/19 13:53,40,Educação Presencial,Concluído,,30,32
Federal,Escolas Técnicas,PE,SENAC/PE - SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL,455,Cabeleireiro,Subsequente,Ambiente e Saúde,Educação Presencial,8/19/19 14:21,400,Educação Presencial,Concluído,3,,11
Federal,Escolas Técnicas,PE,SENAC/PE - SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL,455,Cabeleireiro,Subsequente,Ambiente e Saúde,Educação Presencial,8/19/19 14:21,400,Educação Presencial,Concluído,3,,11
Federal,Escolas Técnicas,MG,SENAC – UNIDADE DE ENSINO TÉCNICO DO CEP DE BETIM,11,Técnico em Administração,Concomitante,Gestão e Negócios,Educação Presencial,8/19/19 15:03,1000,Educação Presencial,Ativo,2,,17
Federal,Escolas Técnicas,MG,SENAC – UNIDADE DE ENSINO TÉCNICO DO CEP DE BETIM,11,Técnico em Administração,Concomitante,Gestão e Negócios,Educação Presencial,8/19/19 15:03,1000,Educação Presencial,Ativo,2,,17
Federal,Escolas Técnicas,SP,SENAC LAPA TITO,35,JARDINAGEM,Concomitante,Produção Cultural e Design,Educação Presencial,8/19/19 16:20,33,Educação Presencial,Ativo,2,,0
Federal,Escolas Técnicas,SP,SENAC LAPA TITO,35,JARDINAGEM,Concomitante,Produção Cultural e Design,Educação Presencial,8/19/19 16:20,33,Educação Presencial,Ativo,2,,0
Federal,Escolas Técnicas,SP,SENAC LAPA TITO,35,JARDINAGEM,Concomitante,Produção Cultural e Design,Educação Presencial,8/19/19 16:20,33,Educação Presencial,Ativo,2,,0
Federal,Escolas de Oferta Outros Cursos,SP,Instituto Federal de São Paulo - Campus Avaré,34,Compostagem e vermicompostagem de resíduos sólidos orgânicos,Subsequente,Recursos Naturais,Todos,8/19/19 19:24,40,Todos,Concluído,3,25,24
Federal,Escolas de Oferta Outros Cursos,SP,Instituto Federal de São Paulo - Campus Avaré,34,Compostagem e vermicompostagem de resíduos sólidos orgânicos,Subsequente,Recursos Naturais,Todos,8/19/19 19:24,40,Todos,Concluído,3,25,24
Estadual / Distrital,Escolas Técnicas,AM,CETAM - UNIDADE DE MANAUS,33,confecção de biojóias e ecojóias,,Produção Cultural e Design,Educação Presencial,8/19/19 14:00,100,Educação Presencial,Concluído,,,25
